FECHA,NOMBRE_COMPLETO,IDIOMA,RANGO,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES,CATEGORIA_1
2022-09-01,미르다요 (mirdayo),Korean,Aficionado,156585,233,36511680,2510858,25011,PLAYERUNKNOWN
2022-09-01,alanzoka,Portuguese,Experto,106035,21517,2328239025,53496103,3857581,Call Of Duty: Modern Warfare
2022-09-01,sector_esports,Russian,Aficionado,10800,2162,22595790,1896197,16205,Counter-Strike: Global Offensive
2022-09-01,Alem4oR6,Portuguese,Novato,47280,317,15782385,550226,56240,Tom Clancy
2022-09-01,iskall85,English,Experto,15150,3972,59200425,1628066,379684,Minecraft
2022-09-01,paracetamor,Spanish,Avanzado,73545,336,26692440,1574660,144772,Minecraft
2022-09-01,Jayne,English,Experto,7860,1165,9284910,201375,191387,Overwatch
2022-09-01,Kaellyn,English,Avanzado,40395,553,20236695,2009703,83418,Just Chatting
2022-09-01,Likebutterlive,English,Avanzado,145215,127,19068135,280869,103637,Escape From Tarkov
2022-09-01,kandyrew,English,Avanzado,36105,554,20069550,474999,118361,Apex Legends
2022-09-02,cidcidoso,Portuguese,Experto,49305,2237,115691250,4993567,191387,Just Chatting
2022-09-02,GLL,English,Avanzado,8625,1179,10610775,1015050,98094,PLAYERUNKNOWN
2022-09-02,MariMind,Portuguese,Avanzado,89805,194,18179670,861742,64973,League of Legends
2022-09-02,StarLadder_pubg_ru,Russian,Avanzado,13650,1369,18286080,610298,84111,PLAYERUNKNOWN
2022-09-02,Forsalive,Russian,Novato,160035,65,11193435,288811,27115,Path of Exile
2022-09-02,SparcMac,English,Experto,134085,793,114596775,2272731,408162,Old School RuneScape
2022-09-02,WowChakra,Spanish,Novato,52485,573,31812525,6584141,29539,World of Warcraft
2022-09-02,Horcus,Spanish,Novato,86640,173,15498030,1427730,31374,Counter-Strike: Global Offensive
2022-09-02,DistantCoder,English,Aficionado,61725,320,20572305,308090,9604,Yu-Gi-Oh! Saikyo Card Battle
2022-09-02,AlinaRinRin,Russian,Avanzado,47535,932,46088895,3158419,123194,Just Chatting
2022-09-02,Schwedy,English,Aficionado,287610,56,16083015,182146,5406,Just Chatting
2022-09-03,dallasfancam,English,Aficionado,55425,190,12104610,2859031,2574,Sports
2022-09-03,DisguisedToast,English,Experto,9555,11442,136555215,2904200,1415901,Teamfight Tactics
2022-09-03,bysTaXx,Spanish,Experto,52200,6525,362279835,11406826,1166441,Counter-Strike: Global Offensive
2022-09-03,lucastabata,Portuguese,Aficionado,44130,247,11616105,206208,21363,FIFA 20
2022-09-03,isabaierle,Portuguese,Novato,46275,318,15691470,449131,40158,Grand Theft Auto V
2022-09-03,nenem_xd,Portuguese,Aficionado,41415,490,22620300,1184752,22098,Tibia
2022-09-03,Seals311,Portuguese,Avanzado,207405,511,99614850,2040119,110950,Just Chatting
2022-09-03,Elposhas_,Spanish,Aficionado,157755,96,18777525,4034966,23164,Garena Free Fire
2022-09-03,스테로이드_ (stero2d),Korean,Aficionado,150180,194,30353010,702453,8348,Path of Exile
2022-09-03,원정상 (swon5274),Korean,Avanzado,51615,244,12510555,649149,130367,Overwatch
2022-09-04,감블러 (9ambler),Korean,Avanzado,90165,1650,154025370,3678221,148093,League of Legends
2022-09-04,BoarControlHS,English,Avanzado,163020,1135,186105975,3147759,82720,Hearthstone
2022-09-04,cooterz,English,Aficionado,155235,62,10047105,354481,20339,World of Warcraft
2022-09-04,Gom4rt,French,Avanzado,93915,492,47044920,1367279,70228,PLAYERUNKNOWN
2022-09-04,TheLoyalPatriot,English,Avanzado,95025,233,22276530,288678,70277,DayZ
2022-09-04,wachinanii,Spanish,Novato,68175,384,27177060,772846,41652,Grand Theft Auto V
2022-09-04,rueven,English,Novato,79755,204,16900500,555374,40554,League of Legends
2022-09-04,SmallStreamersConnect,English,Avanzado,506490,17,9381615,820509,69129,Call Of Duty: Modern Warfare
2022-09-05,RedBull,English,Experto,24435,4204,124246035,9810358,243614,Age of Empires II: Definitive Edition
2022-09-05,JoltzDude139,English,Experto,57720,1428,83665080,1505575,276322,Borderlands 3
2022-09-05,BeastQT,Russian,Avanzado,181500,508,103676355,5722081,131137,Escape From Tarkov
2022-09-05,5fingershuffle,English,Aficionado,96810,95,10312680,148674,8901,Epic Seven
2022-09-05,SmallStreamersSupporter,English,Aficionado,380535,27,11381970,351917,22975,Just Chatting
2022-09-05,AnneMunition,English,Experto,97320,1559,157533930,9457560,627531,Tom Clancy
2022-09-05,NuxTaku,English,Avanzado,9120,1063,11408040,372691,140914,Just Chatting
2022-09-05,Jayce,English,Avanzado,99135,169,18643785,440763,66508,Grand Theft Auto V
2022-09-05,InternetHistorian,English,Avanzado,16605,679,13259370,357257,93908,Just Chatting
2022-09-05,zeki,Spanish,Avanzado,71610,271,22591905,919185,126880,Just Chatting
2022-09-05,cellinrj,Portuguese,Experto,116085,1637,196107675,4717701,265654,League of Legends
2022-09-06,dankus_memecus,English,Aficionado,64710,183,12400350,285815,9710,Hearts of Iron IV
2022-09-06,NoobNationTV,Russian,Aficionado,162375,132,22666290,568059,10544,Path of Exile
2022-09-06,Tablestory,English,Aficionado,41895,274,11516310,329423,17976,Dungeons & Dragons
2022-09-06,귀마개 (falgwang),Korean,Novato,125220,542,68964285,2324126,27707,World of Warcraft
2022-09-06,39daph,English,Experto,132180,4591,603302190,10556135,631591,Just Chatting
2022-09-06,lomaka,Russian,Novato,12615,959,9650280,630622,35060,Just Chatting
2022-09-06,hellhadestv,English,Aficionado,26340,523,13856985,259548,15958,Raid: Shadow Legends
2022-09-06,douglasgamerr,Portuguese,Aficionado,99060,103,10592085,725077,15649,FIFA 20
2022-09-06,GermanDota,German,Novato,77505,172,14278440,642517,32849,Dota 2
2022-09-06,Tooshi,English,Avanzado,103275,105,12681240,202028,120684,Stardew Valley
2022-09-06,siimssyy,English,Aficionado,62370,157,10355100,113085,12821,Call of Duty: Black Ops 4
2022-09-06,FACEIT TV (faceittv),English,Experto,27030,10693,236822775,15380314,1673297,Counter-Strike: Global Offensive
2022-09-07,xSHUMBAx,English,Aficionado,150600,76,12613650,196776,24547,Sea of Thieves
2022-09-07,KBradJStorm,English,Novato,95760,140,11906025,531009,30523,Call Of Duty: Modern Warfare
2022-09-07,Doutora,Portuguese,Novato,367335,227,92322435,8211399,48837,Fortnite
2022-09-07,ManaProd,French,Novato,55440,527,31659585,608580,32225,Summoners War: Sky Arena
2022-09-07,DarkozTV,Spanish,Novato,85740,101,9597015,439766,44337,World of Warcraft
2022-09-07,NeZaK_,Italian,Experto,142305,1546,232045005,3445962,279714,Fortnite
2022-09-07,Rogue,English,Experto,138795,1515,216089820,3368728,199873,Apex Legends
2022-09-07,BlackUFA,Russian,Experto,88875,4024,359508840,14104568,290370,Just Chatting
2022-09-07,JCbackfire,English,Novato,52620,208,11886450,181046,49440,Just Chatting
2022-09-08,Cringer,English,Novato,161865,433,70762095,890743,33959,RimWorld
2022-09-08,LordJamesDelaney,English,Aficionado,143700,127,23700045,368545,8044,Hunt: Showdown
2022-09-08,TomFawkes,English,Novato,32820,381,13427340,254677,58899,Persona 5: The Royal
2022-09-08,Yoona,French,Avanzado,85650,315,28275030,773982,109149,Call Of Duty: Modern Warfare
2022-09-08,SrAmilcar,Spanish,Novato,12465,862,10824840,264637,58910,Just Chatting
2022-09-08,TheBigGreekSchach,German,Novato,20115,687,12094530,346922,33242,Chess
2022-09-08,Krystalogy,English,Novato,75180,159,12616740,238889,55749,Just Chatting
2022-09-08,TrulyTenzin,English,Aficionado,81870,133,11784990,407582,21219,League of Legends
2022-09-09,YoMax,French,Experto,51465,2154,121223955,1655995,290515,FIFA 20
2022-09-09,쨔니1 (zzanicoya),Korean,Aficionado,89295,101,8859945,569597,11817,Just Chatting
2022-09-09,Wanderbot,English,Novato,143790,177,25487145,422567,46216,Hades
2022-09-09,rioluTM,English,Novato,83475,424,37511085,762682,28032,TrackMania 2: Stadium
2022-09-09,BeBePtv,Russian,Novato,107745,1954,217502130,91323354,57420,Dota 2
2022-09-09,TheDanDangler,English,Novato,55185,285,17553885,784705,43719,Call Of Duty: Modern Warfare
2022-09-09,표은지 (djhenney),English,Avanzado,13245,1034,14634840,1448812,91010,Just Chatting
2022-09-09,AdlerssonPictures,German,Avanzado,31500,501,15565290,430088,107475,Call Of Duty: Modern Warfare
2022-09-09,뉴띵 (newthingtv),Korean,Aficionado,135060,146,20764230,767839,7251,World of Warcraft
2022-09-09,DisguisedToast,English,Experto,9555,11442,136555215,2904200,1415901,Teamfight Tactics
2022-09-10,Robbaz,English,Experto,86760,1470,129669915,5325311,230393,Escape From Tarkov
2022-09-10,BobRoss,English,Experto,238200,2144,549417390,7069134,1558955,Art
