ID_TRANSMISION,FECHA,NOMBRE_COMPLETO,IDIOMA,PATROCINADO,RANGO,MODOS_JUEGOS,GENEROS_JUEGOS,CATEGORIAS_JUEGOS,JUEGOS,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES
ID_TRANS_000001,2022-09-01,Noizeeh,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,VALORANT,85245,125,30155805,602791,46800
ID_TRANS_000002,2022-09-01,AussieAntics,English,Con Patrocinador,Experto,Multijugador en Línea,Acción,Battle Royale,Fortnite,124635,941,126102135,4876013,180133
ID_TRANS_000003,2022-09-01,StumptGamers,English,Con Patrocinador,Novato,Multijugador en Línea,Otros,Eventos Especiales,Special Events,65775,186,18515475,3542106,49059
ID_TRANS_000004,2022-09-01,Pamaj,English,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Call Of Duty: Modern Warfare,47055,493,30333690,657932,318096
ID_TRANS_000005,2022-09-01,Draskyl,English,Con Patrocinador,Avanzado,Multijugador en Línea,Estrategia,MOBA,Dota 2,164520,616,101275455,1031735,127582
ID_TRANS_000006,2022-09-02,Ammy,Portuguese,Con Patrocinador,Avanzado,Multijugador en Línea,Estrategia,MOBA,League of Legends,115320,150,20207145,2159839,78005
ID_TRANS_000007,2022-09-02,근태_ (geuntae_),Korean,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Overwatch,136875,90,12023460,429051,30369
ID_TRANS_000008,2022-09-02,DAENGZA,Korean,Con Patrocinador,Aficionado,Multijugador en Línea,RPG,MMORPG,World of Warcraft,147330,76,11294370,346264,2047
ID_TRANS_000009,2022-09-02,OGARainbow6PIT,English,Con Patrocinador,Novato,Multijugador en Línea,Acción,Disparos/FPS,Tom Clancy,7740,2783,23495190,1386826,40674
ID_TRANS_000010,2022-09-02,인섹_ (insec13),Korean,Sin Patrocinador,Aficionado,Multijugador en Línea,Estrategia,MOBA,League of Legends,63570,399,22861845,647857,19392
ID_TRANS_000015,2022-09-03,RatoBorrachudo,Portuguese,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,7785,2846,23337720,762780,212941
ID_TRANS_000013,2022-09-03,EinQuantumPro,German,Con Patrocinador,Novato,"Un jugador, Multijugador en Línea",Aventura,Aventura/Sandbox,Fallout 76,112440,198,23080995,3051334,54455
ID_TRANS_000014,2022-09-03,WishYouLuckk,English,Sin Patrocinador,Experto,"Un jugador, Multijugador en Línea",Acción,Disparos/FPS,Destiny 2,23130,471,11330985,181500,168899
ID_TRANS_000011,2022-09-03,AngryTestie,English,Con Patrocinador,Avanzado,Multijugador en Línea,Estrategia,MOBA,Heroes of Newerth,290700,203,59362320,997000,63131
ID_TRANS_000012,2022-09-03,jjjjoaco,Spanish,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,22680,3344,77008110,2928654,719302
ID_TRANS_000016,2022-09-04,Fonbet_NBA,Russian,Sin Patrocinador,Novato,"Un jugador, Multijugador en Línea",Deporte,Deportes,NBA 2K19,294990,196,57748035,3757526,38393
ID_TRANS_000017,2022-09-04,ibai,Spanish,Con Patrocinador,Experto,Transmisión en Vivo,Variado,Variado,Just Chatting,78180,30604,2582360895,73557439,3044081
ID_TRANS_000018,2022-09-04,Valouzz,French,Con Patrocinador,Experto,Multijugador en Línea,Aventura,Aventura/Sandbox,Rust,7440,2331,17029065,309547,160360
ID_TRANS_000019,2022-09-04,UCCleague,Russian,Con Patrocinador,Experto,Multijugador en Línea,Acción,Disparos/FPS,Counter-Strike: Global Offensive,105615,1435,125765910,8232341,229466
