FECHA,NOMBRE_COMPLETO,IDIOMA,RANGO,TIEMPO_TRANSMISION,ESPECTADORES_PROMEDIO,TIEMPO_VISTA,VISTAS_GANADAS,SEGUIDORES,CATEGORIA_1
2022-09-01,Noizeeh,English,Novato,85245,125,30155805,602791,46800,VALORANT
2022-09-01,AussieAntics,English,Experto,124635,941,126102135,4876013,180133,Fortnite
2022-09-01,StumptGamers,English,Novato,65775,186,18515475,3542106,49059,Special Events
2022-09-01,Pamaj,English,Experto,47055,493,30333690,657932,318096,Call Of Duty: Modern Warfare
2022-09-01,Draskyl,English,Avanzado,164520,616,101275455,1031735,127582,Dota 2
2022-09-02,Ammy,Portuguese,Avanzado,115320,150,20207145,2159839,78005,League of Legends
2022-09-02,근태_ (geuntae_),Korean,Novato,136875,90,12023460,429051,30369,Overwatch
2022-09-02,DAENGZA,Korean,Aficionado,147330,76,11294370,346264,2047,World of Warcraft
2022-09-02,OGARainbow6PIT,English,Novato,7740,2783,23495190,1386826,40674,Tom Clancy
2022-09-02,인섹_ (insec13),Korean,Aficionado,63570,399,22861845,647857,19392,League of Legends
2022-09-03,RatoBorrachudo,Portuguese,Experto,7785,2846,23337720,762780,212941,Just Chatting
2022-09-03,EinQuantumPro,German,Novato,112440,198,23080995,3051334,54455,Fallout 76
2022-09-03,WishYouLuckk,English,Experto,23130,471,11330985,181500,168899,Destiny 2
2022-09-03,AngryTestie,English,Avanzado,290700,203,59362320,997000,63131,Heroes of Newerth
2022-09-03,jjjjoaco,Spanish,Experto,22680,3344,77008110,2928654,719302,Just Chatting
2022-09-04,Fonbet_NBA,Russian,Novato,294990,196,57748035,3757526,38393,NBA 2K19
2022-09-04,ibai,Spanish,Experto,78180,30604,2582360895,73557439,3044081,Just Chatting
2022-09-04,Valouzz,French,Experto,7440,2331,17029065,309547,160360,Rust
2022-09-04,UCCleague,Russian,Experto,105615,1435,125765910,8232341,229466,Counter-Strike: Global Offensive
2022-09-04,Nikolian,English,Aficionado,87270,110,10459155,157212,21918,Minecraft
2022-09-04,MohakK,English,Aficionado,71115,190,20338725,306550,15880,Call Of Duty: Modern Warfare
2022-09-04,Patriota,Portuguese,Experto,79890,2103,166351575,4930913,741841,Fortnite
2022-09-04,JLTomy,French,Experto,115560,10489,1237931400,14159808,458758,Grand Theft Auto V
2022-09-05,Wahzdah,English,Experto,95820,267,27387210,2100563,289078,Minecraft
2022-09-05,stupidsaywhatttv,English,Aficionado,34950,278,11048325,20454,6156,Fortnite
2022-09-05,MittensGG,English,Novato,88530,181,17322525,452251,59367,Rocket League
2022-09-05,Bajheera,English,Experto,142410,544,83382720,6780296,477364,World of Warcraft
2022-09-05,Gladd,English,Experto,170460,2585,495693255,8298324,348469,Destiny 2
2022-09-05,Yuggie_TV,English,Avanzado,112800,1005,119027535,3040667,89300,Just Chatting
2022-09-05,OgamingSC2,French,Avanzado,484020,549,254735985,15449780,108838,StarCraft II
2022-09-05,lilsimsie,English,Experto,43710,2267,108523230,2928720,270733,The Sims 4
2022-09-05,TearlessRaptor,Italian,Avanzado,66120,239,16057395,444612,80600,Pokémon Sword/Shield
2022-09-05,RocketBaguette,French,Avanzado,47175,1147,72628800,3989924,82105,Rocket League
2022-09-06,follow4ce,Russian,Aficionado,75705,136,11249085,337632,11190,Dota 2
2022-09-06,miabyte,English,Aficionado,71655,122,9411915,624693,20135,Warframe
2022-09-06,Okonaye,French,Novato,46320,211,10239735,309460,41778,League of Legends
2022-09-06,fluyr,Portuguese,Experto,137625,273,44916855,1488736,152190,VALORANT
